"id","date","focal.depth","magnitude","intensity","country","location.name","latitude","longitude","casualties","property.damage","factor"
5554,2000-02-02,33,5.3,NA,"IRAN","IRAN:  BARDASKAN, KASHMAR",35.288,58.218,16,400,"[5,6)"
5556,2000-03-28,127,7.6,NA,"JAPAN","JAPAN:  VOLCANO ISLANDS",22.338,143.73,NA,NA,"[7,8)"
7301,2000-04-05,38,5.5,NA,"GREECE","GREECE:  CRETE",34.22,25.69,NA,NA,"[5,6)"
5557,2000-05-04,26,7.6,NA,"INDONESIA","INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,310,NA,"[7,8)"
5559,2000-05-17,10,5.4,NA,"TAIWAN","TAIWAN:  TAI-CHUNG COUNTY",24.223,121.058,16,NA,"[5,6)"
5560,2000-06-04,33,7.9,6,"INDONESIA","INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,2277,NA,"[7,8)"
5561,2000-06-06,10,6,7,"TURKEY","TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,82,NA,"[6,7)"
5562,2000-06-07,33,6.3,NA,"CHINA","CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR",26.856,97.238,NA,NA,"[6,7)"
5563,2000-06-07,33,6.7,NA,"INDONESIA","INDONESIA:  SOUTHERN SUMATERA:  LAHAT",-4.612,101.905,NA,NA,"[6,7)"
5564,2000-06-10,33,6.4,NA,"TAIWAN","TAIWAN:  NAN-TOU",23.843,121.225,38,NA,"[6,7)"
8209,2000-06-17,10,6.5,NA,"ICELAND","ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,NA,30,"[6,7)"
5565,2000-06-18,10,7.9,NA,"AUSTRALIA","AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,NA,NA,"[7,8)"
5566,2000-06-21,10,6.5,NA,"ICELAND","ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,NA,NA,"[6,7)"
5568,2000-07-01,10,6.1,NA,"JAPAN","JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA",34.221,139.131,NA,NA,"[6,7)"
5569,2000-07-06,33,5.4,NA,"NICARAGUA","NICARAGUA:  MASAYA",11.884,-85.988,49,1487,"[5,6)"
5570,2000-07-12,33,5.4,NA,"INDONESIA","INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,NA,NA,"[5,6)"
5571,2000-07-15,10,6.1,NA,"JAPAN","JAPAN:  NEAR S COAST HONSHU:  NII-JIMA",34.319,139.26,NA,NA,"[6,7)"
5572,2000-07-16,33,6.4,NA,"PHILIPPINES","PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,NA,NA,"[6,7)"
7803,2000-07-30,10,6.5,NA,"JAPAN","JAPAN:  HONSHU:  S",33.901,139.376,NA,NA,"[6,7)"
5574,2000-08-04,10,6.8,6,"RUSSIA","RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,NA,NA,"[6,7)"
5576,2000-09-03,10,5,7,"USA","CALIFORNIA:  NAPA",38.379,-122.413,NA,NA,"[5,6)"
5577,2000-10-02,34,6.5,NA,"TANZANIA","TANZANIA:  NKANSI, RUKWA",-7.977,30.709,NA,157,"[6,7)"
5578,2000-10-06,10,6.7,9,"JAPAN","JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,NA,2334,"[6,7)"
5579,2000-10-30,33,5.1,NA,"AFGHANISTAN","AFGHANISTAN-TAJIKISTAN:  RAKHOR",37.542,69.582,NA,NA,"[5,6)"
5580,2000-11-08,17,6.5,NA,"PANAMA","PANAMA-COLOMBIA:  JURADO",7.042,-77.829,NA,NA,"[6,7)"
5581,2000-11-16,33,8,NA,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-3.98,152.169,NA,NA,"[8,9)"
5582,2000-11-16,30,7.8,NA,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,NA,NA,"[7,8)"
